risk,place,year,count,score,rank
spam,kr,2016,15250,6.29,134
spam,kw,2016,120,53.43,72
spam,kz,2016,150,51.25,81
spam,la,2016,10,77.6,1
spam,lb,2016,150,51.25,81
spam,lk,2016,30,66.91,24
spam,lr,2016,10,77.6,1
spam,lt,2016,70,58.67,59
spam,lu,2016,10,77.6,1
spam,lv,2016,20,70.86,15
spam,ly,2016,30,66.91,24
spam,ma,2016,40,64.11,39
spam,md,2016,20,70.86,15
spam,me,2016,20,70.86,15
spam,mk,2016,110,54.27,69
spam,ml,2016,10,77.6,1
spam,mm,2016,20,70.86,15
spam,mn,2016,110,54.27,69
spam,mr,2016,30,66.91,24
spam,mt,2016,10,77.6,1
spam,mu,2016,30,66.91,24
spam,mv,2016,10,77.6,1
spam,mw,2016,10,77.6,1
spam,mx,2016,15310,6.25,135
spam,my,2016,150,51.25,81
spam,mz,2016,40,64.11,39
spam,nc,2016,10,77.6,1
spam,ng,2016,60,60.17,53
spam,ni,2016,30,66.91,24
spam,nl,2016,300,44.51,100
spam,no,2016,120,53.43,72
spam,np,2016,70,58.67,59
spam,nz,2016,10,77.6,1
spam,pa,2016,60,60.17,53
spam,pe,2016,1100,31.87,123
spam,ph,2016,420,41.24,108
spam,pk,2016,740,35.73,118
spam,pl,2016,290,44.84,98
spam,pr,2016,440,40.79,109
spam,ps,2016,60,60.17,53
spam,pt,2016,110,54.27,69
spam,qa,2016,30,66.91,24
spam,re,2016,40,64.11,39
spam,ro,2016,280,45.18,95
spam,rs,2016,290,44.84,98
spam,ru,2016,2540,23.73,128
spam,rw,2016,50,61.94,46
spam,sa,2016,450,40.57,110
spam,sc,2016,10,77.6,1
spam,sd,2016,60,60.17,53
spam,se,2016,200,48.46,91
spam,sg,2016,240,46.68,92
spam,si,2016,10,77.6,1
spam,sk,2016,130,52.65,76
spam,sn,2016,50,61.94,46
spam,sv,2016,20,70.86,15
spam,sy,2016,10,77.6,1
spam,tg,2016,30,66.91,24
spam,th,2016,450,40.57,110
spam,tn,2016,310,44.19,102
spam,tr,2016,1570,28.41,126
spam,tt,2016,170,50.04,89
spam,tw,2016,640,37.14,116
